Acronym,Disease
I_OTH,Other diseases of the circulatory system (remainder of I00-I99)
J,Diseases of the respiratory system (J00-J99)
J00-J11,Acute upper respiratory infections and influenza
J12-J18,Pneumonia
J20-J22,Other acute lower respiratory infections
J35,Chronic diseases of tonsils and adenoids
UPRESPIR_OTH,"Other diseases of upper respiratory tract (J30-J34, J36-J39)"
J45_J46,Asthma and status asthmaticus
J40-J44_J47,Other lower respiratory diseases
J60-J99,Other diseases of the respiratory system
K,Diseases of the digestive system (K00-K93)
K00-K08,Disorders of teeth and supporting structures
K09-K14,"Other diseases of oral cavity, salivary glands and jaws"
K20-K23,Diseases of oesophagus
K25-K28,"Ulcer of stomach, duodenum and jejunum"
K29-K31,Dyspepsia and other diseases of stomach and duodenum
K35-K38,Diseases of appendix
K40,Inguinal hernia
K41-K46,Other abdominal hernia
K50_K51,Crohn disease and ulcerative colitis
K52,Other noninfective gastroenteritis and colitis
K56,Paralytic ileus and intestinal obstruction without hernia
K57,Diverticular disease of intestine
K60-K62,Diseases of anus and rectum
INTESTINE_OTH,"Other diseases of intestine (K55,K58-K59,K63)"
K70,Alcoholic liver disease
K71-K77,Other diseases of liver
K80,Cholelithiasis
K81-K83,Other diseases of gallbladder and biliary tract
K85-K87,Diseases of pancreas
K_OTH,Other diseases of the digestive system (remainder of K00-K93)
L,Diseases of the skin and subcutaneous tissue (L00-L99)
L00-L08,Infections of the skin and subcutaneous tissue
L20-L45,"Dermatitis, eczema and papulosquamous disorders"
L_OTH,Other diseases of the skin and subcutaneous tissue (remainder of L00-L99)
M,Diseases of the musculoskeletal system and connective tissue (M00-M99)
M16,Coxarthrosis [arthrosis of hip]
M17,Gonarthrosis [arthrosis of knee]
M23,Internal derangement of knee
ARTHROPAT_OTH,"Other arthropathies (M00-M15, M18-M22 ,M24-M25)"
M30-M36,Systemic connective tissue disorders
M40-M49,Deforming dorsopathies and spondylopathies
M50_M51,"Cervical disc disorders, other intervertebral disc disorders"
M54,Dorsalgia
M60-M79,Soft tissue disorders
M53_M80-M99,Other disorders of the musculoskeletal system and connective tissue
N,Diseases of the genitourinary system (N00-N99)
N00-N16,Glomerular and renal tubulo-interstitial diseases
N17-N19,Renal failure
N20-N23,Urolithiasis
N25-N39,Other diseases of the urinary system
N40,Hyperplasia of prostate
N41-N51,Other diseases of male genital organs
N60-N64,Disorders of breast
N70-N77,Inflammatory diseases of female pelvic organs
N91-N95,"Menstrual, menopausal and other female genital conditions"
N_OTH,Other diseases of the genitourinary system (remainder of N00-N99)
O,"Pregnancy, childbirth and the puerperium (O00-O99)"
O04,Medical abortion
ABORT_OTH,"Other pregnancy with abortive outcome (O00-O03,O05-O08)"
O10-O48,Complications of pregnancy predominantly in the antenatal period
O60-O75,Complications of labour and delivery
O80,Single spontaneous delivery
O81-O84,Other delivery
O85-O92,Complications predominantly related to the puerperium
O95-O99,Other obstetric conditions
P,Certain conditions originating in the perinatal period (P00-P96)
P07,"Disorders related to short gestation and low birth weight, not elsewhere classified"
P_OTH,Other conditions originating in the perinatal period (remainder of P00-P96)
Q,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"
R,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"
R07,Pain in throat and chest
R10,Abdominal and pelvic pain
R69,Unknown and unspecified causes of morbidity
R_OTH,"Other symptoms, signs and abnormal clinical and laboratory findings (remainder of R00-R99)"
S_T,"Injury, poisoning and certain other consequences of external causes (S00-T98)"
INJ_OTH,"Other injuries (S10-S51, S53-S71, S73-S81, S83-T14, T79)"
S06,Intracranial injury
INJ_HEAD_OTH,"Other injuries to the head (S00-S05, S07-S09)"
S52,Fracture of forearm
S72,Fracture of femur
S82,"Fracture of lower leg, including ankle"
T20-T32,Burns and corrosions
T36-T65,"Poisonings by drugs, medicaments and biological substances and toxic effects"
T80-T88,"Complications of surgical and medical care, not elsewhere classified"
T90-T98,"Sequelae of injuries, of poisoning and of other consequences of external causes"
S_T_OTH,Other and unspecified effects of external causes (remainder of S00-T98)
Z,Factors influencing health status and contact with health services (Z00-Z99)
Z03,Medical observation and evaluation for suspected diseases and conditions
Z30,Contraceptive management
Z38,Liveborn infants according to place of birth
Z51,Other medical care
Z_OTH,Other factors influencing health status and contact with health services (remainder of Z00-Z99)
