"med_spec","frequenc","wstatus","deg_urb","quantile","unit","geo","time","values"
"GEN","1-2","POP","DEG3","QU5","PC","EU28",2017,41.4
"GEN","1-2","POP","DEG3","TOTAL","PC","EU28",2017,36.3
"GEN","1-2","POP","TOTAL","QU1","PC","EU28",2017,33.1
"GEN","1-2","POP","TOTAL","QU2","PC","EU28",2017,35.2
"GEN","1-2","POP","TOTAL","QU3","PC","EU28",2017,37.5
"GEN","1-2","POP","TOTAL","QU4","PC","EU28",2017,39.8
"GEN","1-2","POP","TOTAL","QU5","PC","EU28",2017,41.9
"GEN","1-2","POP","TOTAL","TOTAL","PC","EU28",2017,37.6
"GEN","1-2","RET","DEG1","QU1","PC","EU28",2017,25
"GEN","1-2","RET","DEG1","QU2","PC","EU28",2017,27.5
"GEN","1-2","RET","DEG1","QU3","PC","EU28",2017,28.8
"GEN","1-2","RET","DEG1","QU4","PC","EU28",2017,28.8
"GEN","1-2","RET","DEG1","QU5","PC","EU28",2017,34.7
"GEN","1-2","RET","DEG1","TOTAL","PC","EU28",2017,29.2
"GEN","1-2","RET","DEG2","QU1","PC","EU28",2017,25.6
"GEN","1-2","RET","DEG2","QU2","PC","EU28",2017,27.5
"GEN","1-2","RET","DEG2","QU3","PC","EU28",2017,30.6
"GEN","1-2","RET","DEG2","QU4","PC","EU28",2017,34.4
"GEN","1-2","RET","DEG2","QU5","PC","EU28",2017,34.5
"GEN","1-2","RET","DEG2","TOTAL","PC","EU28",2017,30.2
"GEN","1-2","RET","DEG3","QU1","PC","EU28",2017,24.4
"GEN","1-2","RET","DEG3","QU2","PC","EU28",2017,26.5
"GEN","1-2","RET","DEG3","QU3","PC","EU28",2017,26.8
"GEN","1-2","RET","DEG3","QU4","PC","EU28",2017,29.4
"GEN","1-2","RET","DEG3","QU5","PC","EU28",2017,33.1
"GEN","1-2","RET","DEG3","TOTAL","PC","EU28",2017,27.4
"GEN","1-2","RET","TOTAL","QU1","PC","EU28",2017,24.9
"GEN","1-2","RET","TOTAL","QU2","PC","EU28",2017,27.2
"GEN","1-2","RET","TOTAL","QU3","PC","EU28",2017,28.8
"GEN","1-2","RET","TOTAL","QU4","PC","EU28",2017,30.7
"GEN","1-2","RET","TOTAL","QU5","PC","EU28",2017,34.3
"GEN","1-2","RET","TOTAL","TOTAL","PC","EU28",2017,29
"GEN","1-2","UNE","DEG1","QU1","PC","EU28",2017,30.8
"GEN","1-2","UNE","DEG1","QU2","PC","EU28",2017,34.5
"GEN","1-2","UNE","DEG1","QU3","PC","EU28",2017,
"GEN","1-2","UNE","DEG1","QU4","PC","EU28",2017,
"GEN","1-2","UNE","DEG1","QU5","PC","EU28",2017,
"GEN","1-2","UNE","DEG1","TOTAL","PC","EU28",2017,34.8
"GEN","1-2","UNE","DEG2","QU1","PC","EU28",2017,32.5
"GEN","1-2","UNE","DEG2","QU2","PC","EU28",2017,
"GEN","1-2","UNE","DEG2","QU3","PC","EU28",2017,
"GEN","1-2","UNE","DEG2","QU4","PC","EU28",2017,
"GEN","1-2","UNE","DEG2","QU5","PC","EU28",2017,
"GEN","1-2","UNE","DEG2","TOTAL","PC","EU28",2017,35.2
"GEN","1-2","UNE","DEG3","QU1","PC","EU28",2017,33.6
"GEN","1-2","UNE","DEG3","QU2","PC","EU28",2017,
"GEN","1-2","UNE","DEG3","QU3","PC","EU28",2017,
"GEN","1-2","UNE","DEG3","QU4","PC","EU28",2017,
"GEN","1-2","UNE","DEG3","QU5","PC","EU28",2017,
"GEN","1-2","UNE","DEG3","TOTAL","PC","EU28",2017,35.9
"GEN","1-2","UNE","TOTAL","QU1","PC","EU28",2017,32.1
"GEN","1-2","UNE","TOTAL","QU2","PC","EU28",2017,36.2
"GEN","1-2","UNE","TOTAL","QU3","PC","EU28",2017,40
"GEN","1-2","UNE","TOTAL","QU4","PC","EU28",2017,
"GEN","1-2","UNE","TOTAL","QU5","PC","EU28",2017,
"GEN","1-2","UNE","TOTAL","TOTAL","PC","EU28",2017,35.2
"GEN","3-5","EMP","DEG1","QU1","PC","EU28",2017,22.7
"GEN","3-5","EMP","DEG1","QU2","PC","EU28",2017,23.5
"GEN","3-5","EMP","DEG1","QU3","PC","EU28",2017,22.7
"GEN","3-5","EMP","DEG1","QU4","PC","EU28",2017,21.1
"GEN","3-5","EMP","DEG1","QU5","PC","EU28",2017,21.1
"GEN","3-5","EMP","DEG1","TOTAL","PC","EU28",2017,21.9
"GEN","3-5","EMP","DEG2","QU1","PC","EU28",2017,20.3
"GEN","3-5","EMP","DEG2","QU2","PC","EU28",2017,21.8
"GEN","3-5","EMP","DEG2","QU3","PC","EU28",2017,21.5
"GEN","3-5","EMP","DEG2","QU4","PC","EU28",2017,21.9
"GEN","3-5","EMP","DEG2","QU5","PC","EU28",2017,21.5
"GEN","3-5","EMP","DEG2","TOTAL","PC","EU28",2017,21.5
"GEN","3-5","EMP","DEG3","QU1","PC","EU28",2017,18.6
"GEN","3-5","EMP","DEG3","QU2","PC","EU28",2017,20.3
"GEN","3-5","EMP","DEG3","QU3","PC","EU28",2017,22.7
"GEN","3-5","EMP","DEG3","QU4","PC","EU28",2017,21.7
"GEN","3-5","EMP","DEG3","QU5","PC","EU28",2017,21.1
"GEN","3-5","EMP","DEG3","TOTAL","PC","EU28",2017,21.1
"GEN","3-5","EMP","TOTAL","QU1","PC","EU28",2017,20.6
"GEN","3-5","EMP","TOTAL","QU2","PC","EU28",2017,21.9
"GEN","3-5","EMP","TOTAL","QU3","PC","EU28",2017,22.3
"GEN","3-5","EMP","TOTAL","QU4","PC","EU28",2017,21.5
"GEN","3-5","EMP","TOTAL","QU5","PC","EU28",2017,21.3
"GEN","3-5","EMP","TOTAL","TOTAL","PC","EU28",2017,21.6
"GEN","3-5","INAC_OTH","DEG1","QU1","PC","EU28",2017,22.7
"GEN","3-5","INAC_OTH","DEG1","QU2","PC","EU28",2017,22.3
"GEN","3-5","INAC_OTH","DEG1","QU3","PC","EU28",2017,21.9
"GEN","3-5","INAC_OTH","DEG1","QU4","PC","EU28",2017,20.7
"GEN","3-5","INAC_OTH","DEG1","QU5","PC","EU28",2017,18.7
"GEN","3-5","INAC_OTH","DEG1","TOTAL","PC","EU28",2017,21.7
"GEN","3-5","INAC_OTH","DEG2","QU1","PC","EU28",2017,21.3
"GEN","3-5","INAC_OTH","DEG2","QU2","PC","EU28",2017,22.2
"GEN","3-5","INAC_OTH","DEG2","QU3","PC","EU28",2017,21.3
"GEN","3-5","INAC_OTH","DEG2","QU4","PC","EU28",2017,21
"GEN","3-5","INAC_OTH","DEG2","QU5","PC","EU28",2017,20.1
"GEN","3-5","INAC_OTH","DEG2","TOTAL","PC","EU28",2017,21.3
"GEN","3-5","INAC_OTH","DEG3","QU1","PC","EU28",2017,20.1
"GEN","3-5","INAC_OTH","DEG3","QU2","PC","EU28",2017,22.2
"GEN","3-5","INAC_OTH","DEG3","QU3","PC","EU28",2017,22.3
"GEN","3-5","INAC_OTH","DEG3","QU4","PC","EU28",2017,22.8
"GEN","3-5","INAC_OTH","DEG3","QU5","PC","EU28",2017,22.7
"GEN","3-5","INAC_OTH","DEG3","TOTAL","PC","EU28",2017,21.6
"GEN","3-5","INAC_OTH","TOTAL","QU1","PC","EU28",2017,21.6
"GEN","3-5","INAC_OTH","TOTAL","QU2","PC","EU28",2017,22.2
"GEN","3-5","INAC_OTH","TOTAL","QU3","PC","EU28",2017,21.8
"GEN","3-5","INAC_OTH","TOTAL","QU4","PC","EU28",2017,21.4
"GEN","3-5","INAC_OTH","TOTAL","QU5","PC","EU28",2017,20
"GEN","3-5","INAC_OTH","TOTAL","TOTAL","PC","EU28",2017,21.6
"GEN","3-5","POP","DEG1","QU1","PC","EU28",2017,25
"GEN","3-5","POP","DEG1","QU2","PC","EU28",2017,26.1
"GEN","3-5","POP","DEG1","QU3","PC","EU28",2017,25.5
"GEN","3-5","POP","DEG1","QU4","PC","EU28",2017,24.3
"GEN","3-5","POP","DEG1","QU5","PC","EU28",2017,23.1
"GEN","3-5","POP","DEG1","TOTAL","PC","EU28",2017,24.7
"GEN","3-5","POP","DEG2","QU1","PC","EU28",2017,23.9
"GEN","3-5","POP","DEG2","QU2","PC","EU28",2017,25.5
"GEN","3-5","POP","DEG2","QU3","PC","EU28",2017,24.8
"GEN","3-5","POP","DEG2","QU4","PC","EU28",2017,24
"GEN","3-5","POP","DEG2","QU5","PC","EU28",2017,23.4
"GEN","3-5","POP","DEG2","TOTAL","PC","EU28",2017,24.3
"GEN","3-5","POP","DEG3","QU1","PC","EU28",2017,22
"GEN","3-5","POP","DEG3","QU2","PC","EU28",2017,24.9
"GEN","3-5","POP","DEG3","QU3","PC","EU28",2017,25.8
"GEN","3-5","POP","DEG3","QU4","PC","EU28",2017,24.3
"GEN","3-5","POP","DEG3","QU5","PC","EU28",2017,23.5
"GEN","3-5","POP","DEG3","TOTAL","PC","EU28",2017,24.1
"GEN","3-5","POP","TOTAL","QU1","PC","EU28",2017,23.7
"GEN","3-5","POP","TOTAL","QU2","PC","EU28",2017,25.5
"GEN","3-5","POP","TOTAL","QU3","PC","EU28",2017,25.4
"GEN","3-5","POP","TOTAL","QU4","PC","EU28",2017,24.2
"GEN","3-5","POP","TOTAL","QU5","PC","EU28",2017,23.2
"GEN","3-5","POP","TOTAL","TOTAL","PC","EU28",2017,24.4
"GEN","3-5","RET","DEG1","QU1","PC","EU28",2017,33.7
"GEN","3-5","RET","DEG1","QU2","PC","EU28",2017,34.1
"GEN","3-5","RET","DEG1","QU3","PC","EU28",2017,35
"GEN","3-5","RET","DEG1","QU4","PC","EU28",2017,35.7
"GEN","3-5","RET","DEG1","QU5","PC","EU28",2017,32.6
"GEN","3-5","RET","DEG1","TOTAL","PC","EU28",2017,34.2
"GEN","3-5","RET","DEG2","QU1","PC","EU28",2017,33.3
"GEN","3-5","RET","DEG2","QU2","PC","EU28",2017,34.1
"GEN","3-5","RET","DEG2","QU3","PC","EU28",2017,34.2
"GEN","3-5","RET","DEG2","QU4","PC","EU28",2017,32.8
"GEN","3-5","RET","DEG2","QU5","PC","EU28",2017,32.2
"GEN","3-5","RET","DEG2","TOTAL","PC","EU28",2017,33.5
"GEN","3-5","RET","DEG3","QU1","PC","EU28",2017,31.1
"GEN","3-5","RET","DEG3","QU2","PC","EU28",2017,33.8
"GEN","3-5","RET","DEG3","QU3","PC","EU28",2017,35.1
"GEN","3-5","RET","DEG3","QU4","PC","EU28",2017,33.9
"GEN","3-5","RET","DEG3","QU5","PC","EU28",2017,32.2
"GEN","3-5","RET","DEG3","TOTAL","PC","EU28",2017,33.3
"GEN","3-5","RET","TOTAL","QU1","PC","EU28",2017,32.6
"GEN","3-5","RET","TOTAL","QU2","PC","EU28",2017,34
"GEN","3-5","RET","TOTAL","QU3","PC","EU28",2017,34.8
"GEN","3-5","RET","TOTAL","QU4","PC","EU28",2017,34.3
"GEN","3-5","RET","TOTAL","QU5","PC","EU28",2017,32.4
"GEN","3-5","RET","TOTAL","TOTAL","PC","EU28",2017,33.7
"GEN","3-5","UNE","DEG1","QU1","PC","EU28",2017,23.8
"GEN","3-5","UNE","DEG1","QU2","PC","EU28",2017,20.4
"GEN","3-5","UNE","DEG1","QU3","PC","EU28",2017,
"GEN","3-5","UNE","DEG1","QU4","PC","EU28",2017,
"GEN","3-5","UNE","DEG1","QU5","PC","EU28",2017,
"GEN","3-5","UNE","DEG1","TOTAL","PC","EU28",2017,21.5
"GEN","3-5","UNE","DEG2","QU1","PC","EU28",2017,20.5
"GEN","3-5","UNE","DEG2","QU2","PC","EU28",2017,
"GEN","3-5","UNE","DEG2","QU3","PC","EU28",2017,
"GEN","3-5","UNE","DEG2","QU4","PC","EU28",2017,
"GEN","3-5","UNE","DEG2","QU5","PC","EU28",2017,
"GEN","3-5","UNE","DEG2","TOTAL","PC","EU28",2017,19
"GEN","3-5","UNE","DEG3","QU1","PC","EU28",2017,16.3
"GEN","3-5","UNE","DEG3","QU2","PC","EU28",2017,
"GEN","3-5","UNE","DEG3","QU3","PC","EU28",2017,
"GEN","3-5","UNE","DEG3","QU4","PC","EU28",2017,
"GEN","3-5","UNE","DEG3","QU5","PC","EU28",2017,
"GEN","3-5","UNE","DEG3","TOTAL","PC","EU28",2017,17.3
"GEN","3-5","UNE","TOTAL","QU1","PC","EU28",2017,20.8
"GEN","3-5","UNE","TOTAL","QU2","PC","EU28",2017,19.1
"GEN","3-5","UNE","TOTAL","QU3","PC","EU28",2017,17.3
"GEN","3-5","UNE","TOTAL","QU4","PC","EU28",2017,
"GEN","3-5","UNE","TOTAL","QU5","PC","EU28",2017,
"GEN","3-5","UNE","TOTAL","TOTAL","PC","EU28",2017,19.6
"GEN","6-9","EMP","DEG1","QU1","PC","EU28",2017,5.6
"GEN","6-9","EMP","DEG1","QU2","PC","EU28",2017,6.1
"GEN","6-9","EMP","DEG1","QU3","PC","EU28",2017,6
"GEN","6-9","EMP","DEG1","QU4","PC","EU28",2017,5.4
"GEN","6-9","EMP","DEG1","QU5","PC","EU28",2017,4.1
"GEN","6-9","EMP","DEG1","TOTAL","PC","EU28",2017,5.2
"GEN","6-9","EMP","DEG2","QU1","PC","EU28",2017,6.6
"GEN","6-9","EMP","DEG2","QU2","PC","EU28",2017,5.6
"GEN","6-9","EMP","DEG2","QU3","PC","EU28",2017,5.4
"GEN","6-9","EMP","DEG2","QU4","PC","EU28",2017,5.5
"GEN","6-9","EMP","DEG2","QU5","PC","EU28",2017,5.3
"GEN","6-9","EMP","DEG2","TOTAL","PC","EU28",2017,5.6
"GEN","6-9","EMP","DEG3","QU1","PC","EU28",2017,4.9
"GEN","6-9","EMP","DEG3","QU2","PC","EU28",2017,5.8
"GEN","6-9","EMP","DEG3","QU3","PC","EU28",2017,5.5
"GEN","6-9","EMP","DEG3","QU4","PC","EU28",2017,5.4
"GEN","6-9","EMP","DEG3","QU5","PC","EU28",2017,5.3
"GEN","6-9","EMP","DEG3","TOTAL","PC","EU28",2017,5.4
"GEN","6-9","EMP","TOTAL","QU1","PC","EU28",2017,5.7
"GEN","6-9","EMP","TOTAL","QU2","PC","EU28",2017,5.9
"GEN","6-9","EMP","TOTAL","QU3","PC","EU28",2017,5.6
"GEN","6-9","EMP","TOTAL","QU4","PC","EU28",2017,5.5
"GEN","6-9","EMP","TOTAL","QU5","PC","EU28",2017,4.7
"GEN","6-9","EMP","TOTAL","TOTAL","PC","EU28",2017,5.4
"GEN","6-9","INAC_OTH","DEG1","QU1","PC","EU28",2017,7.7
"GEN","6-9","INAC_OTH","DEG1","QU2","PC","EU28",2017,8.2
"GEN","6-9","INAC_OTH","DEG1","QU3","PC","EU28",2017,7.6
"GEN","6-9","INAC_OTH","DEG1","QU4","PC","EU28",2017,6.6
"GEN","6-9","INAC_OTH","DEG1","QU5","PC","EU28",2017,5
"GEN","6-9","INAC_OTH","DEG1","TOTAL","PC","EU28",2017,7.3
"GEN","6-9","INAC_OTH","DEG2","QU1","PC","EU28",2017,9
"GEN","6-9","INAC_OTH","DEG2","QU2","PC","EU28",2017,7.9
"GEN","6-9","INAC_OTH","DEG2","QU3","PC","EU28",2017,7.6
"GEN","6-9","INAC_OTH","DEG2","QU4","PC","EU28",2017,6.7
"GEN","6-9","INAC_OTH","DEG2","QU5","PC","EU28",2017,5.7
"GEN","6-9","INAC_OTH","DEG2","TOTAL","PC","EU28",2017,7.8
"GEN","6-9","INAC_OTH","DEG3","QU1","PC","EU28",2017,8.3
"GEN","6-9","INAC_OTH","DEG3","QU2","PC","EU28",2017,7.8
"GEN","6-9","INAC_OTH","DEG3","QU3","PC","EU28",2017,8.9
"GEN","6-9","INAC_OTH","DEG3","QU4","PC","EU28",2017,6.5
"GEN","6-9","INAC_OTH","DEG3","QU5","PC","EU28",2017,5.1
"GEN","6-9","INAC_OTH","DEG3","TOTAL","PC","EU28",2017,7.8
"GEN","6-9","INAC_OTH","TOTAL","QU1","PC","EU28",2017,8.2
"GEN","6-9","INAC_OTH","TOTAL","QU2","PC","EU28",2017,8
"GEN","6-9","INAC_OTH","TOTAL","QU3","PC","EU28",2017,8
"GEN","6-9","INAC_OTH","TOTAL","QU4","PC","EU28",2017,6.6
"GEN","6-9","INAC_OTH","TOTAL","QU5","PC","EU28",2017,5.2
"GEN","6-9","INAC_OTH","TOTAL","TOTAL","PC","EU28",2017,7.6
"GEN","6-9","POP","DEG1","QU1","PC","EU28",2017,8.7
"GEN","6-9","POP","DEG1","QU2","PC","EU28",2017,9.1
"GEN","6-9","POP","DEG1","QU3","PC","EU28",2017,8.1
"GEN","6-9","POP","DEG1","QU4","PC","EU28",2017,7.5
"GEN","6-9","POP","DEG1","QU5","PC","EU28",2017,5.9
"GEN","6-9","POP","DEG1","TOTAL","PC","EU28",2017,7.7
"GEN","6-9","POP","DEG2","QU1","PC","EU28",2017,9.7
"GEN","6-9","POP","DEG2","QU2","PC","EU28",2017,9.1
"GEN","6-9","POP","DEG2","QU3","PC","EU28",2017,7.9
"GEN","6-9","POP","DEG2","QU4","PC","EU28",2017,7
"GEN","6-9","POP","DEG2","QU5","PC","EU28",2017,6.4
"GEN","6-9","POP","DEG2","TOTAL","PC","EU28",2017,8
"GEN","6-9","POP","DEG3","QU1","PC","EU28",2017,8.9
"GEN","6-9","POP","DEG3","QU2","PC","EU28",2017,8.7
"GEN","6-9","POP","DEG3","QU3","PC","EU28",2017,8.3
"GEN","6-9","POP","DEG3","QU4","PC","EU28",2017,7
"GEN","6-9","POP","DEG3","QU5","PC","EU28",2017,6.7
"GEN","6-9","POP","DEG3","TOTAL","PC","EU28",2017,8
"GEN","6-9","POP","TOTAL","QU1","PC","EU28",2017,9.1
"GEN","6-9","POP","TOTAL","QU2","PC","EU28",2017,9
"GEN","6-9","POP","TOTAL","QU3","PC","EU28",2017,8.1
"GEN","6-9","POP","TOTAL","QU4","PC","EU28",2017,7.2
"GEN","6-9","POP","TOTAL","QU5","PC","EU28",2017,6.2
"GEN","6-9","POP","TOTAL","TOTAL","PC","EU28",2017,7.9
"GEN","6-9","RET","DEG1","QU1","PC","EU28",2017,15.1
"GEN","6-9","RET","DEG1","QU2","PC","EU28",2017,14.8
"GEN","6-9","RET","DEG1","QU3","PC","EU28",2017,13.3
"GEN","6-9","RET","DEG1","QU4","PC","EU28",2017,13.9
"GEN","6-9","RET","DEG1","QU5","PC","EU28",2017,12.8
"GEN","6-9","RET","DEG1","TOTAL","PC","EU28",2017,13.9
"GEN","6-9","RET","DEG2","QU1","PC","EU28",2017,15.1
"GEN","6-9","RET","DEG2","QU2","PC","EU28",2017,14.9
"GEN","6-9","RET","DEG2","QU3","PC","EU28",2017,13
"GEN","6-9","RET","DEG2","QU4","PC","EU28",2017,11.5
"GEN","6-9","RET","DEG2","QU5","PC","EU28",2017,11.3
"GEN","6-9","RET","DEG2","TOTAL","PC","EU28",2017,13.3
"GEN","6-9","RET","DEG3","QU1","PC","EU28",2017,15.5
"GEN","6-9","RET","DEG3","QU2","PC","EU28",2017,14
"GEN","6-9","RET","DEG3","QU3","PC","EU28",2017,13.5
"GEN","6-9","RET","DEG3","QU4","PC","EU28",2017,12.1
"GEN","6-9","RET","DEG3","QU5","PC","EU28",2017,12.3
"GEN","6-9","RET","DEG3","TOTAL","PC","EU28",2017,13.7
"GEN","6-9","RET","TOTAL","QU1","PC","EU28",2017,15.3
"GEN","6-9","RET","TOTAL","QU2","PC","EU28",2017,14.6
"GEN","6-9","RET","TOTAL","QU3","PC","EU28",2017,13.2
"GEN","6-9","RET","TOTAL","QU4","PC","EU28",2017,12.7
"GEN","6-9","RET","TOTAL","QU5","PC","EU28",2017,12.2
"GEN","6-9","RET","TOTAL","TOTAL","PC","EU28",2017,13.7
"GEN","6-9","UNE","DEG1","QU1","PC","EU28",2017,9.1
"GEN","6-9","UNE","DEG1","QU2","PC","EU28",2017,5.9
"GEN","6-9","UNE","DEG1","QU3","PC","EU28",2017,
"GEN","6-9","UNE","DEG1","QU4","PC","EU28",2017,
"GEN","6-9","UNE","DEG1","QU5","PC","EU28",2017,
"GEN","6-9","UNE","DEG1","TOTAL","PC","EU28",2017,7.3
"GEN","6-9","UNE","DEG2","QU1","PC","EU28",2017,8
"GEN","6-9","UNE","DEG2","QU2","PC","EU28",2017,
"GEN","6-9","UNE","DEG2","QU3","PC","EU28",2017,
"GEN","6-9","UNE","DEG2","QU4","PC","EU28",2017,
"GEN","6-9","UNE","DEG2","QU5","PC","EU28",2017,
"GEN","6-9","UNE","DEG2","TOTAL","PC","EU28",2017,6.7
"GEN","6-9","UNE","DEG3","QU1","PC","EU28",2017,6.9
"GEN","6-9","UNE","DEG3","QU2","PC","EU28",2017,
"GEN","6-9","UNE","DEG3","QU3","PC","EU28",2017,
"GEN","6-9","UNE","DEG3","QU4","PC","EU28",2017,
"GEN","6-9","UNE","DEG3","QU5","PC","EU28",2017,
"GEN","6-9","UNE","DEG3","TOTAL","PC","EU28",2017,6.1
"GEN","6-9","UNE","TOTAL","QU1","PC","EU28",2017,8.2
"GEN","6-9","UNE","TOTAL","QU2","PC","EU28",2017,5.1
"GEN","6-9","UNE","TOTAL","QU3","PC","EU28",2017,5.7
"GEN","6-9","UNE","TOTAL","QU4","PC","EU28",2017,
"GEN","6-9","UNE","TOTAL","QU5","PC","EU28",2017,
"GEN","6-9","UNE","TOTAL","TOTAL","PC","EU28",2017,6.8
"GEN","GE10","EMP","DEG1","QU1","PC","EU28",2017,4.5
"GEN","GE10","EMP","DEG1","QU2","PC","EU28",2017,4.3
"GEN","GE10","EMP","DEG1","QU3","PC","EU28",2017,3.7
"GEN","GE10","EMP","DEG1","QU4","PC","EU28",2017,3.1
"GEN","GE10","EMP","DEG1","QU5","PC","EU28",2017,2.4
"GEN","GE10","EMP","DEG1","TOTAL","PC","EU28",2017,3.3
"GEN","GE10","EMP","DEG2","QU1","PC","EU28",2017,4.3
"GEN","GE10","EMP","DEG2","QU2","PC","EU28",2017,4.2
"GEN","GE10","EMP","DEG2","QU3","PC","EU28",2017,3.9
"GEN","GE10","EMP","DEG2","QU4","PC","EU28",2017,3.1
"GEN","GE10","EMP","DEG2","QU5","PC","EU28",2017,2.6
"GEN","GE10","EMP","DEG2","TOTAL","PC","EU28",2017,3.4
"GEN","GE10","EMP","DEG3","QU1","PC","EU28",2017,3.9
"GEN","GE10","EMP","DEG3","QU2","PC","EU28",2017,3.8
"GEN","GE10","EMP","DEG3","QU3","PC","EU28",2017,3.3
"GEN","GE10","EMP","DEG3","QU4","PC","EU28",2017,3.5
"GEN","GE10","EMP","DEG3","QU5","PC","EU28",2017,3.4
"GEN","GE10","EMP","DEG3","TOTAL","PC","EU28",2017,3.5
"GEN","GE10","EMP","TOTAL","QU1","PC","EU28",2017,4.3
"GEN","GE10","EMP","TOTAL","QU2","PC","EU28",2017,4.1
"GEN","GE10","EMP","TOTAL","QU3","PC","EU28",2017,3.6
