"unit","med_spec","geo","time","values"
"NR","GEN_PRAC","SI",2017,1237
"NR","GEN_PRAC","TR",2017,47999
"NR","GEN_PRAC","UK",2017,49824
"NR","GYN","AT",2017,1893
"NR","GYN","BE",2017,1454
"NR","GYN","BG",2017,1447
"NR","GYN","CH",2017,1828
"NR","GYN","CY",2017,176
"NR","GYN","DE",2017,21045
"NR","GYN","EE",2017,301
"NR","GYN","EL",2017,3399
"NR","GYN","ES",2017,5621
"NR","GYN","FR",2017,8034
"NR","GYN","HR",2017,808
"NR","GYN","HU",2017,1455
"NR","GYN","IE",2017,373
"NR","GYN","IS",2017,54
"NR","GYN","IT",2017,12311
"NR","GYN","LI",2017,8
"NR","GYN","LT",2017,700
"NR","GYN","LU",2017,101
"NR","GYN","LV",2017,383
"NR","GYN","ME",2017,117
"NR","GYN","MK",2017,405
"NR","GYN","MT",2017,73
"NR","GYN","NL",2017,1615
"NR","GYN","NO",2017,607
"NR","GYN","PL",2017,4976
"NR","GYN","PT",2017,1799
"NR","GYN","RO",2017,2608
"NR","GYN","RS",2017,1264
"NR","GYN","SI",2017,360
"NR","GYN","TR",2017,7160
"NR","GYN","UK",2017,7728
"NR","MED","AT",2017,10111
"NR","MED","BE",2017,9865
"NR","MED","BG",2017,9856
"NR","MED","CH",2017,6531
"NR","MED","CY",2017,1052
"NR","MED","DE",2017,111411
"NR","MED","EE",2017,1675
"NR","MED","EL",2017,28192
"NR","MED","ES",2017,49630
"NR","MED","FR",2017,50915
"NR","MED","HR",2017,5264
"NR","MED","HU",2017,12577
"NR","MED","IE",2017,2890
"NR","MED","IS",2017,384
"NR","MED","IT",2017,87157
"NR","MED","LI",2017,37
"NR","MED","LT",2017,4606
"NR","MED","LU",2017,513
"NR","MED","LV",2017,1816
"NR","MED","ME",2017,663
"NR","MED","MK",2017,1983
"NR","MED","MT",2017,390
"NR","MED","NL",2017,15571
"NR","MED","NO",2017,4286
"NR","MED","PL",2017,39508
"NR","MED","PT",2017,12132
"NR","MED","RO",2017,22617
"NR","MED","RS",2017,5589
"NR","MED","SI",2017,2149
"NR","MED","TR",2017,44030
"NR","MED","UK",2017,46845
"NR","NSP","AT",2017,7633
"NR","NSP","BE",2017,447
"NR","NSP","BG",2017,0
"NR","NSP","CH",2017,5038
"NR","NSP","CY",2017,0
"NR","NSP","DE",2017,0
"NR","NSP","EE",2017,0
"NR","NSP","EL",2017,7331
"NR","NSP","HR",2017,0
"NR","NSP","HU",2017,73
"NR","NSP","IE",2017,36
"NR","NSP","IS",2017,325
"NR","NSP","LI",2017,0
"NR","NSP","LT",2017,0
"NR","NSP","LU",2017,0
"NR","NSP","LV",2017,0
"NR","NSP","ME",2017,0
"NR","NSP","MK",2017,0
"NR","NSP","MT",2017,492
"NR","NSP","NO",2017,9572
"NR","NSP","PL",2017,0
"NR","NSP","RO",2017,0
"NR","NSP","RS",2017,0
"NR","NSP","SI",2017,250
"NR","OTH","AT",2017,82
"NR","OTH","BG",2017,4379
"NR","OTH","CH",2017,194
"NR","OTH","CY",2017,0
"NR","OTH","DE",2017,2195
"NR","OTH","EE",2017,0
"NR","OTH","EL",2017,522
"NR","OTH","ES",2017,635
"NR","OTH","FR",2017,2209
"NR","OTH","HR",2017,26
"NR","OTH","HU",2017,1153
"NR","OTH","IE",2017,49
"NR","OTH","IS",2017,0
"NR","OTH","IT",2017,0
"NR","OTH","LI",2017,0
"NR","OTH","LT",2017,186
"NR","OTH","LU",2017,0
"NR","OTH","LV",2017,714
"NR","OTH","ME",2017,0
"NR","OTH","MK",2017,184
"NR","OTH","NL",2017,3663
"NR","OTH","NO",2017,412
"NR","OTH","PL",2017,299
"NR","OTH","PT",2017,770
"NR","OTH","RO",2017,567
"NR","OTH","RS",2017,1174
"NR","OTH","SI",2017,39
"NR","OTH","TR",2017,4660
"NR","OTH","UK",2017,6202
"NR","PAED","AT",2017,1359
"NR","PAED","BE",2017,1563
"NR","PAED","BG",2017,1475
"NR","PAED","CH",2017,1817
"NR","PAED","CY",2017,248
"NR","PAED","DE",2017,13915
"NR","PAED","EE",2017,172
"NR","PAED","EL",2017,4258
"NR","PAED","ES",2017,12389
"NR","PAED","FR",2017,8075
"NR","PAED","HR",2017,864
"NR","PAED","HU",2017,2371
"NR","PAED","IE",2017,451
"NR","PAED","IS",2017,18
"NR","PAED","IT",2017,17354
"NR","PAED","LI",2017,5
"NR","PAED","LT",2017,716
"NR","PAED","LU",2017,98
"NR","PAED","LV",2017,248
"NR","PAED","ME",2017,189
"NR","PAED","MK",2017,428
"NR","PAED","MT",2017,81
"NR","PAED","NL",2017,1751
"NR","PAED","NO",2017,875
"NR","PAED","PL",2017,5497
"NR","PAED","PT",2017,2085
"NR","PAED","RO",2017,2655
"NR","PAED","RS",2017,1919
"NR","PAED","SI",2017,648
"NR","PAED","TR",2017,7362
"NR","PAED","UK",2017,10464
"NR","PSY","AT",2017,1678
"NR","PSY","BE",2017,1965
"NR","PSY","BG",2017,550
"NR","PSY","CH",2017,4371
"NR","PSY","CY",2017,99
"NR","PSY","DE",2017,22632
"NR","PSY","EE",2017,243
"NR","PSY","EL",2017,2738
"NR","PSY","ES",2017,4909
"NR","PSY","FR",2017,15284
"NR","PSY","HR",2017,665
"NR","PSY","HU",2017,1426
"NR","PSY","IE",2017,869
"NR","PSY","IS",2017,81
"NR","PSY","IT",2017,10532
"NR","PSY","LI",2017,15
"NR","PSY","LT",2017,671
"NR","PSY","LU",2017,128
"NR","PSY","LV",2017,285
"NR","PSY","ME",2017,70
"NR","PSY","MK",2017,190
"NR","PSY","MT",2017,50
"NR","PSY","NL",2017,4021
"NR","PSY","NO",2017,1318
"NR","PSY","PL",2017,3504
"NR","PSY","PT",2017,1312
"NR","PSY","RO",2017,2241
"NR","PSY","RS",2017,884
"NR","PSY","SI",2017,279
"NR","PSY","TR",2017,3711
"NR","PSY","UK",2017,11914
"NR","SPEC","AT",2017,24198
"NR","SPEC","BE",2017,21630
"NR","SPEC","BG",2017,25387
"NR","SPEC","CH",2017,21658
"NR","SPEC","CY",2017,2492
"NR","SPEC","DE",2017,268905
"NR","SPEC","EE",2017,3510
"NR","SPEC","EL",2017,53258
"NR","SPEC","ES",2017,117912
"NR","SPEC","FR",2017,116273
"NR","SPEC","HR",2017,10564
"NR","SPEC","HU",2017,25615
"NR","SPEC","IE",2017,6861
"NR","SPEC","IS",2017,796
"NR","SPEC","IT",2017,187821
"NR","SPEC","LI",2017,92
"NR","SPEC","LT",2017,9916
"NR","SPEC","LU",2017,1246
"NR","SPEC","LV",2017,4811
"NR","SPEC","ME",2017,1356
"NR","SPEC","MK",2017,4187
"NR","SPEC","MT",2017,984
"NR","SPEC","NL",2017,33793
"NR","SPEC","NO",2017,10445
"NR","SPEC","PL",2017,74376
"NR","SPEC","PT",2017,25642
"NR","SPEC","RO",2017,42309
"NR","SPEC","RS",2017,14689
"NR","SPEC","SI",2017,4758
"NR","SPEC","TR",2017,101998
"NR","SPEC","UK",2017,136097
"NR","SURG","AT",2017,9075
"NR","SURG","BE",2017,6783
"NR","SURG","BG",2017,7680
"NR","SURG","CH",2017,6917
"NR","SURG","CY",2017,917
"NR","SURG","DE",2017,97707
"NR","SURG","EE",2017,1119
"NR","SURG","EL",2017,14149
"NR","SURG","ES",2017,44728
"NR","SURG","FR",2017,31756
"NR","SURG","HR",2017,2937
"NR","SURG","HU",2017,6633
"NR","SURG","IE",2017,2229
"NR","SURG","IS",2017,259
"NR","SURG","IT",2017,60467
"NR","SURG","LI",2017,27
"NR","SURG","LT",2017,3037
"NR","SURG","LU",2017,406
"NR","SURG","LV",2017,1365
"NR","SURG","ME",2017,317
"NR","SURG","MK",2017,997
"NR","SURG","MT",2017,390
"NR","SURG","NL",2017,7172
"NR","SURG","NO",2017,2947
"NR","SURG","PL",2017,20592
"NR","SURG","PT",2017,7544
"NR","SURG","RO",2017,11621
"NR","SURG","RS",2017,3859
"NR","SURG","SI",2017,1283
"NR","SURG","TR",2017,35075
"NR","SURG","UK",2017,53387
"P_HTHAB","GEN","AT",2017,156.24
"P_HTHAB","GEN","BE",2017,114.21
"P_HTHAB","GEN","BG",2017,65.72
"P_HTHAB","GEN","CH",2017,113.92
"P_HTHAB","GEN","CY",2017,96.91
"P_HTHAB","GEN","DE",2017,99.56
"P_HTHAB","GEN","EE",2017,80.39
"P_HTHAB","GEN","EL",2017,43.25
"P_HTHAB","GEN","ES",2017,75.93
"P_HTHAB","GEN","FR",2017,141.91
"P_HTHAB","GEN","HR",2017,80.41
"P_HTHAB","GEN","HU",2017,70.03
"P_HTHAB","GEN","IE",2017,182.28
"P_HTHAB","GEN","IS",2017,60.86
"P_HTHAB","GEN","IT",2017,88.69
"P_HTHAB","GEN","LI",2017,121.17
"P_HTHAB","GEN","LT",2017,105.04
"P_HTHAB","GEN","LU",2017,89.55
"P_HTHAB","GEN","LV",2017,72.8
"P_HTHAB","GEN","ME",2017,48.68
"P_HTHAB","GEN","MK",2017,97.95
"P_HTHAB","GEN","MT",2017,80.98
"P_HTHAB","GEN","NL",2017,160.96
"P_HTHAB","GEN","NO",2017,86.53
"P_HTHAB","GEN","PL",2017,41.89
"P_HTHAB","GEN","PT",2017,262.87
"P_HTHAB","GEN","RO",2017,76.68
"P_HTHAB","GEN","RS",2017,86.66
"P_HTHAB","GEN","SI",2017,67.75
"P_HTHAB","GEN","TR",2017,59.77
"P_HTHAB","GEN","UK",2017,75.42
"P_HTHAB","GEN_OTH","AT",2017,80.8
"P_HTHAB","GEN_OTH","BE",2017,0
"P_HTHAB","GEN_OTH","BG",2017,1.68
"P_HTHAB","GEN_OTH","CH",2017,97.04
"P_HTHAB","GEN_OTH","CY",2017,0
"P_HTHAB","GEN_OTH","DE",2017,29.18
"P_HTHAB","GEN_OTH","EE",2017,9.26
"P_HTHAB","GEN_OTH","EL",2017,9.34
"P_HTHAB","GEN_OTH","FR",2017,51.86
"P_HTHAB","GEN_OTH","HR",2017,24.6
"P_HTHAB","GEN_OTH","HU",2017,25.35
"P_HTHAB","GEN_OTH","IE",2017,100.28
"P_HTHAB","GEN_OTH","IT",2017,16.45
"P_HTHAB","GEN_OTH","LI",2017,55.32
"P_HTHAB","GEN_OTH","LT",2017,10.71
"P_HTHAB","GEN_OTH","LU",2017,0
"P_HTHAB","GEN_OTH","LV",2017,0
"P_HTHAB","GEN_OTH","ME",2017,0
"P_HTHAB","GEN_OTH","MT",2017,0
"P_HTHAB","GEN_OTH","NL",2017,75.5
"P_HTHAB","GEN_OTH","NO",2017,8.17
"P_HTHAB","GEN_OTH","PL",2017,19.72
"P_HTHAB","GEN_OTH","PT",2017,27.46
"P_HTHAB","GEN_OTH","RO",2017,14.48
"P_HTHAB","GEN_OTH","RS",2017,17.56
"P_HTHAB","GEN_OTH","SI",2017,7.89
"P_HTHAB","GEN_PRAC","AT",2017,75.44
"P_HTHAB","GEN_PRAC","BE",2017,114.21
"P_HTHAB","GEN_PRAC","BG",2017,64.03
"P_HTHAB","GEN_PRAC","CH",2017,16.87
"P_HTHAB","GEN_PRAC","CY",2017,96.91
"P_HTHAB","GEN_PRAC","DE",2017,70.38
"P_HTHAB","GEN_PRAC","EE",2017,71.13
"P_HTHAB","GEN_PRAC","EL",2017,33.91
"P_HTHAB","GEN_PRAC","ES",2017,75.93
"P_HTHAB","GEN_PRAC","FR",2017,90.05
"P_HTHAB","GEN_PRAC","HR",2017,55.81
"P_HTHAB","GEN_PRAC","HU",2017,44.69
"P_HTHAB","GEN_PRAC","IE",2017,82
"P_HTHAB","GEN_PRAC","IS",2017,60.86
"P_HTHAB","GEN_PRAC","IT",2017,72.24
"P_HTHAB","GEN_PRAC","LI",2017,65.86
"P_HTHAB","GEN_PRAC","LT",2017,94.33
"P_HTHAB","GEN_PRAC","LU",2017,89.55
"P_HTHAB","GEN_PRAC","LV",2017,72.8
"P_HTHAB","GEN_PRAC","ME",2017,48.68
"P_HTHAB","GEN_PRAC","MT",2017,80.98
"P_HTHAB","GEN_PRAC","NL",2017,85.46
"P_HTHAB","GEN_PRAC","NO",2017,78.36
"P_HTHAB","GEN_PRAC","PL",2017,22.17
"P_HTHAB","GEN_PRAC","PT",2017,235.41
"P_HTHAB","GEN_PRAC","RO",2017,62.2
"P_HTHAB","GEN_PRAC","RS",2017,69.09
"P_HTHAB","GEN_PRAC","SI",2017,59.86
"P_HTHAB","GEN_PRAC","TR",2017,59.77
"P_HTHAB","GEN_PRAC","UK",2017,75.42
"P_HTHAB","GYN","AT",2017,21.52
"P_HTHAB","GYN","BE",2017,12.78
"P_HTHAB","GYN","BG",2017,20.45
"P_HTHAB","GYN","CH",2017,21.63
"P_HTHAB","GYN","CY",2017,20.48
"P_HTHAB","GYN","DE",2017,25.46
"P_HTHAB","GYN","EE",2017,22.85
"P_HTHAB","GYN","EL",2017,31.6
"P_HTHAB","GYN","ES",2017,12.06
"P_HTHAB","GYN","FR",2017,12.02
"P_HTHAB","GYN","HR",2017,19.56
"P_HTHAB","GYN","HU",2017,14.87
"P_HTHAB","GYN","IE",2017,7.76
"P_HTHAB","GYN","IS",2017,15.73
"P_HTHAB","GYN","IT",2017,20.34
"P_HTHAB","GYN","LI",2017,21.07
"P_HTHAB","GYN","LT",2017,24.75
"P_HTHAB","GYN","LU",2017,16.94
"P_HTHAB","GYN","LV",2017,19.72
"P_HTHAB","GYN","ME",2017,18.8
"P_HTHAB","GYN","MK",2017,19.52
"P_HTHAB","GYN","MT",2017,15.6
"P_HTHAB","GYN","NL",2017,9.43
"P_HTHAB","GYN","NO",2017,11.5
"P_HTHAB","GYN","PL",2017,13.1
"P_HTHAB","GYN","PT",2017,17.47
"P_HTHAB","GYN","RO",2017,13.31
"P_HTHAB","GYN","RS",2017,18
"P_HTHAB","GYN","SI",2017,17.42
"P_HTHAB","GYN","TR",2017,8.92
"P_HTHAB","GYN","UK",2017,11.7
"P_HTHAB","MED","AT",2017,114.93
"P_HTHAB","MED","BE",2017,86.72
"P_HTHAB","MED","BG",2017,139.29
"P_HTHAB","MED","CH",2017,77.27
"P_HTHAB","MED","CY",2017,122.39
"P_HTHAB","MED","DE",2017,134.79
"P_HTHAB","MED","EE",2017,127.15
"P_HTHAB","MED","EL",2017,262.14
"P_HTHAB","MED","ES",2017,106.52
"P_HTHAB","MED","FR",2017,76.15
"P_HTHAB","MED","HR",2017,127.46
"P_HTHAB","MED","HU",2017,128.49
"P_HTHAB","MED","IE",2017,60.12
"P_HTHAB","MED","IS",2017,111.82
"P_HTHAB","MED","IT",2017,143.97
"P_HTHAB","MED","LI",2017,97.47
"P_HTHAB","MED","LT",2017,162.85
"P_HTHAB","MED","LU",2017,86.03
"P_HTHAB","MED","LV",2017,93.5
"P_HTHAB","MED","ME",2017,106.53
"P_HTHAB","MED","MK",2017,95.59
"P_HTHAB","MED","MT",2017,83.33
"P_HTHAB","MED","NL",2017,90.89
"P_HTHAB","MED","NO",2017,81.22
"P_HTHAB","MED","PL",2017,104.04
"P_HTHAB","MED","PT",2017,117.78
"P_HTHAB","MED","RO",2017,115.47
"P_HTHAB","MED","RS",2017,79.61
"P_HTHAB","MED","SI",2017,104
"P_HTHAB","MED","TR",2017,54.82
"P_HTHAB","MED","UK",2017,70.91
"P_HTHAB","NSP","AT",2017,86.76
"P_HTHAB","NSP","BE",2017,3.93
"P_HTHAB","NSP","BG",2017,0
"P_HTHAB","NSP","CH",2017,59.61
"P_HTHAB","NSP","CY",2017,0
"P_HTHAB","NSP","DE",2017,0
"P_HTHAB","NSP","EE",2017,0
"P_HTHAB","NSP","EL",2017,68.17
"P_HTHAB","NSP","HR",2017,0
"P_HTHAB","NSP","HU",2017,0.75
"P_HTHAB","NSP","IE",2017,0.75
"P_HTHAB","NSP","IS",2017,94.64
"P_HTHAB","NSP","LI",2017,0
"P_HTHAB","NSP","LT",2017,0
"P_HTHAB","NSP","LU",2017,0
"P_HTHAB","NSP","LV",2017,0
"P_HTHAB","NSP","ME",2017,0
"P_HTHAB","NSP","MK",2017,0
"P_HTHAB","NSP","MT",2017,105.13
"P_HTHAB","NSP","NO",2017,181.39
"P_HTHAB","NSP","PL",2017,0
"P_HTHAB","NSP","RO",2017,0
"P_HTHAB","NSP","RS",2017,0
"P_HTHAB","NSP","SI",2017,12.1
"P_HTHAB","OTH","AT",2017,0.93
"P_HTHAB","OTH","BG",2017,61.89
"P_HTHAB","OTH","CH",2017,2.3
"P_HTHAB","OTH","CY",2017,0
"P_HTHAB","OTH","DE",2017,2.66
"P_HTHAB","OTH","EE",2017,0
"P_HTHAB","OTH","EL",2017,4.85
"P_HTHAB","OTH","ES",2017,1.36
"P_HTHAB","OTH","FR",2017,3.3
"P_HTHAB","OTH","HR",2017,0.63
"P_HTHAB","OTH","HU",2017,11.78
"P_HTHAB","OTH","IE",2017,1.02
"P_HTHAB","OTH","IS",2017,0
"P_HTHAB","OTH","IT",2017,0
"P_HTHAB","OTH","LI",2017,0
"P_HTHAB","OTH","LT",2017,6.58
"P_HTHAB","OTH","LU",2017,0
"P_HTHAB","OTH","LV",2017,36.76
"P_HTHAB","OTH","ME",2017,0
"P_HTHAB","OTH","MK",2017,8.87
"P_HTHAB","OTH","NL",2017,21.38
"P_HTHAB","OTH","NO",2017,7.81
"P_HTHAB","OTH","PL",2017,0.79
"P_HTHAB","OTH","PT",2017,7.48
"P_HTHAB","OTH","RO",2017,2.89
"P_HTHAB","OTH","RS",2017,16.72
"P_HTHAB","OTH","SI",2017,1.89
"P_HTHAB","OTH","TR",2017,5.8
"P_HTHAB","OTH","UK",2017,9.39
"P_HTHAB","PAED","AT",2017,15.45
"P_HTHAB","PAED","BE",2017,13.74
"P_HTHAB","PAED","BG",2017,20.85
"P_HTHAB","PAED","CH",2017,21.5
"P_HTHAB","PAED","CY",2017,28.85
"P_HTHAB","PAED","DE",2017,16.83
"P_HTHAB","PAED","EE",2017,13.06
"P_HTHAB","PAED","EL",2017,39.59
"P_HTHAB","PAED","ES",2017,26.59
"P_HTHAB","PAED","FR",2017,12.08
"P_HTHAB","PAED","HR",2017,20.92
"P_HTHAB","PAED","HU",2017,24.22
"P_HTHAB","PAED","IE",2017,9.38
"P_HTHAB","PAED","IS",2017,5.24
"P_HTHAB","PAED","IT",2017,28.67
"P_HTHAB","PAED","LI",2017,13.17
"P_HTHAB","PAED","LT",2017,25.31
"P_HTHAB","PAED","LU",2017,16.43
"P_HTHAB","PAED","LV",2017,12.77
"P_HTHAB","PAED","ME",2017,30.37
"P_HTHAB","PAED","MK",2017,20.63
"P_HTHAB","PAED","MT",2017,17.31
"P_HTHAB","PAED","NL",2017,10.22
"P_HTHAB","PAED","NO",2017,16.58
"P_HTHAB","PAED","PL",2017,14.48
"P_HTHAB","PAED","PT",2017,20.24
"P_HTHAB","PAED","RO",2017,13.55
"P_HTHAB","PAED","RS",2017,27.33
"P_HTHAB","PAED","SI",2017,31.36
"P_HTHAB","PAED","TR",2017,9.17
"P_HTHAB","PAED","UK",2017,15.84
"P_HTHAB","PSY","AT",2017,19.07
"P_HTHAB","PSY","BE",2017,17.27
"P_HTHAB","PSY","BG",2017,7.77
"P_HTHAB","PSY","CH",2017,51.72
"P_HTHAB","PSY","CY",2017,11.52
"P_HTHAB","PSY","DE",2017,27.38
"P_HTHAB","PSY","EE",2017,18.45
"P_HTHAB","PSY","EL",2017,25.46
"P_HTHAB","PSY","ES",2017,10.54
"P_HTHAB","PSY","FR",2017,22.86
"P_HTHAB","PSY","HR",2017,16.1
"P_HTHAB","PSY","HU",2017,14.57
"P_HTHAB","PSY","IE",2017,18.08
"P_HTHAB","PSY","IS",2017,23.59
"P_HTHAB","PSY","IT",2017,17.4
"P_HTHAB","PSY","LI",2017,39.51
"P_HTHAB","PSY","LT",2017,23.72
"P_HTHAB","PSY","LU",2017,21.46
"P_HTHAB","PSY","LV",2017,14.67
"P_HTHAB","PSY","ME",2017,11.25
"P_HTHAB","PSY","MK",2017,9.16
"P_HTHAB","PSY","MT",2017,10.68
"P_HTHAB","PSY","NL",2017,23.47
"P_HTHAB","PSY","NO",2017,24.98
"P_HTHAB","PSY","PL",2017,9.23
"P_HTHAB","PSY","PT",2017,12.74
"P_HTHAB","PSY","RO",2017,11.44
"P_HTHAB","PSY","RS",2017,12.59
"P_HTHAB","PSY","SI",2017,13.5
"P_HTHAB","PSY","TR",2017,4.62
"P_HTHAB","PSY","UK",2017,18.04
"P_HTHAB","SPEC","AT",2017,275.05
"P_HTHAB","SPEC","BE",2017,190.15
"P_HTHAB","SPEC","BG",2017,358.78
"P_HTHAB","SPEC","CH",2017,256.25
"P_HTHAB","SPEC","CY",2017,289.93
"P_HTHAB","SPEC","DE",2017,325.33
"P_HTHAB","SPEC","EE",2017,266.44
"P_HTHAB","SPEC","EL",2017,495.21
"P_HTHAB","SPEC","ES",2017,253.07
"P_HTHAB","SPEC","FR",2017,173.89
"P_HTHAB","SPEC","HR",2017,255.8
"P_HTHAB","SPEC","HU",2017,261.7
"P_HTHAB","SPEC","IE",2017,142.72
"P_HTHAB","SPEC","IS",2017,231.8
"P_HTHAB","SPEC","IT",2017,310.26
"P_HTHAB","SPEC","LI",2017,242.35
"P_HTHAB","SPEC","LT",2017,350.59
"P_HTHAB","SPEC","LU",2017,208.94
